source_key,item,story,stim
human,sunset,art,Images/Human/Human - Art/human_art_sunset.png
AI,strawberries,art,Images/AI Generated/AI - Art/ai_art_strawberries.jpeg
AI,flowers 2,art,Images/AI Generated/AI - Art/ai_art_flowers2.jpeg
AI,trees,art,Images/AI Generated/AI - Art/ai_art_trees.jpeg
human,window,art,Images/Human/Human - Art/human_art_window.png
human,cat2,art,Images/Human/Human - Art/human_art_cat2.png
AI,farm,art,Images/AI Generated/AI - Art/ai_art_farm.jpeg
human,dog,art,Images/Human/Human - Art/human_art_dog.png
human,tulip,art,Images/Human/Human - Art/human_art_tulip.png
human,stars,art,Images/Human/Human - Art/human_art_stars.png
AI,tools,art,Images/AI Generated/AI - Art/ai_art_tools.jpeg
