source_key,item,story,stim
human,face,face,Images/Human/Human - Faces/2.R.SA.M.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.B.F.png
AI,face,face,Images/AI Generated/AI - Faces/2.S.SA.F.png
human,face,face,Images/Human/Human - Faces/4.R.EA.F.png
AI,face,face,Images/AI Generated/AI - Faces/4.S.SA.M.png
AI,face,face,Images/AI Generated/AI - Faces/2.S.W.M.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.B.M.png
human,face,face,Images/Human/Human - Faces/3.R.SA.M.png
AI,face,face,Images/AI Generated/AI - Faces/3.S.SA.F.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.EA.F.png
