source_key,item,story,stim
human,face,face,Images/Human/Human - Faces/3.R.B.F.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.EA.M.png
human,face,face,Images/Human/Human - Faces/2.R.B.F.png
human,face,face,Images/Human/Human - Faces/1.R.SA.F.png
human,face,face,Images/Human/Human - Faces/3.R.EA.F.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.W.M.png
human,face,face,Images/Human/Human - Faces/4.R.EA.M.png
human,face,face,Images/Human/Human - Faces/4.R.SA.F.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.W.F.png
human,face,face,Images/Human/Human - Faces/3.R.W.F.png
AI,face,face,Images/AI/AI - Faces/4.S.W.F.png
