source_key,item,story,stim
AI,port,art,Images/AI Generated/AI - Art/ai_art_port.jpeg
AI,apple,art,Images/AI Generated/AI - Art/ai_art_apple.jpeg
human,tulip,art,Images/Human/Human - Art/human_tulip.jpeg
AI,cat,art,Images/AI Generated/AI - Art/ai_art_cat.jpeg
human,window,art,Images/Human/Human - Art/human_art_window.jpeg
human,vegetables,art,Images/Human/Human - Art/human_art_vegetables.jpeg
human,sunset,art,Images/Human/Human - Art/human_art_sunset.jpeg
AI,trees,art,Images/AI Generated/AI - Art/ai_art_trees.jpeg
human,stars,art,Images/Human/Human - Art/human_art_stars.jpeg
AI,onion,art,Images/AI Generated/AI - Art/ai_art_onion.jpeg
AI,green tree,art,Images/AI Generated/AI - Art/ai_art_greentree.jpeg
AI,strawberries,art,Images/AI Generated/AI - Art/ai_art_strawberries.jpeg
human,roses,art,Images/Human/Human - Art/human_art_roses.jpeg
AI,red sunset,art,Images/AI Generated/AI - Art/ai_art_redsun.jpeg
AI,flowers 2,art,Images/AI Generated/AI - Art/ai_art_flowers2.jpeg
human,eggs,art,Images/Human/Human - Art/human_art_eggs.jpeg
human,bees,art,Images/Human/Human - Art/human_art_bees.jpeg
human,cat2,art,Images/Human/Human - Art/human_art_cat2.jpeg
human,dog,art,Images/Human/Human - Art/human_art_dog.jpeg
AI,butterfly,art,Images/AI Generated/AI - Art/ai_art_butterfly.jpeg
