source_key,item,story,stim
human,circus tent,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_circustent_2014.jpeg
AI,ferris wheel,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_ferriswheel.jpeg
human,fireworks,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_fireworks_2013.jpeg
AI,funnel cake,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_funnelcake.jpeg
human,ice cream cone,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_icecreamcone_2017.jpeg
human,merry-go-round,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_merrygoround_2013.jpeg
human,pinball machines,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_pinballmachines_2017.jpeg
human,popcorn,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_popcorn_2015.jpeg
AI,rollercoaster,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_rollercoaster.jpeg
AI,waterslides,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_waterslides.jpeg
AI,basket,picnic,Images/AI Generated/AI - Picnic/ai_picnic_basket.jpeg
AI,bench,picnic,Images/AI Generated/AI - Picnic/ai_picnic_bench.jpeg
AI,charcuterie,picnic,Images/AI Generated/AI - Picnic/ai_picnic_charcuterie.jpeg
AI,food spread,picnic,Images/AI Generated/AI - Picnic/ai_picnic_food.jpeg
human,marshmallow,picnic,Images/Human/Human - Picnic/human_picnic_marshmallow_2017.jpeg
human,popsicle,picnic,Images/Human/Human - Picnic/human_picnic_popsicle_2016.jpeg
human,skewers,picnic,Images/Human/Human - Picnic/human_picnic_skewers_2015.jpeg
human,smore,picnic,Images/Human/Human - Picnic/human_picnic_smores_2017.jpeg
AI,strawberries,picnic,Images/AI Generated/AI - Picnic/ai_picnic_strawberries.jpeg
AI,watermelon,picnic,Images/AI Generated/AI - Picnic/ai_picnic_watermelon.jpeg
AI,art,school,Images/AI Generated/AI - School/ai_school_art.jpg
AI,basketball,school,Images/AI Generated/AI - School/ai_school_basketball.jpg
human,bus,school,Images/Human/Human - School/human_school_bus_2017.jpg
human,cafeteria,school,Images/Human/Human - School/human_school_cafeteria_2015.jpg
human,chalkboard,school,Images/Human/Human - School/human_school_chalkboard_2014.jpg
AI,crayons,school,Images/AI Generated/AI - School/ai_school_crayons.jpg
AI,cube,school,Images/AI Generated/AI - School/ai_school_cube.jpg
human,library,school,Images/Human/Human - School/human_school_library_2016.jpg
AI,lockers,school,Images/AI Generated/AI - School/ai_school_lockers.jpg
human,pencil,school,Images/Human/Human - School/human_school_pencil_2016.jpg
