"","source_key","item","story","stim"
"1","human","merry-go-round","amusement park","Images/Human/Human - Amusement Park/human_amusementpark_merrygoround_2013.jpeg"
"2","AI","strawberries","picnic","Images/AI Generated/AI - Picnic/ai_picnic_strawberries.jpeg"
"3","human","pencil","school","Images/Human/Human - School/human_school_pencil_2016.jpg"
"4","AI","basketball","school","Images/AI Generated/AI - School/ai_school_basketball.jpg"
"5","AI","watermelon","picnic","Images/AI Generated/AI - Picnic/ai_picnic_watermelon.jpeg"
"6","human","popcorn","amusement park","Images/Human/Human - Amusement Park/human_amusementpark_popcorn_2015.jpeg"
"7","AI","basket","picnic","Images/AI Generated/AI - Picnic/ai_picnic_basket.jpeg"
"8","AI","rollercoaster","amusement park","Images/AI Generated/AI - Amusement Park/ai_amusementpark_rollercoaster.jpeg"
"9","human","marshmallow","picnic","Images/Human/Human - Picnic/human_picnic_marshmallow_2017.jpeg"
"10","AI","cube","school","Images/AI Generated/AI - School/ai_school_cube.jpg"
"11","AI","crayons","school","Images/AI Generated/AI - School/ai_school_crayons.jpg"
"12","human","smore","picnic","Images/Human/Human - Picnic/human_picnic_smores_2017.jpeg"
"13","human","skewers","picnic","Images/Human/Human - Picnic/human_picnic_skewers_2015.jpeg"
"14","human","fireworks","amusement park","Images/Human/Human - Amusement Park/human_amusementpark_fireworks_2013.jpeg"
"15","human","cafeteria","school","Images/Human/Human - School/human_school_cafeteria_2015.jpg"
"16","human","pinball machines","amusement park","Images/Human/Human - Amusement Park/human_amusementpark_pinballmachines_2017.jpeg"
"17","AI","lockers","school","Images/AI Generated/AI - School/ai_school_lockers.jpg"
"18","human","chalkboard","school","Images/Human/Human - School/human_school_chalkboard_2014.jpg"
"19","human","library","school","Images/Human/Human - School/human_school_library_2016.jpg"
"20","human","bus","school","Images/Human/Human - School/human_school_bus_2017.jpg"
"21","AI","charcuterie","picnic","Images/AI Generated/AI - Picnic/ai_picnic_charcuterie.jpeg"
"22","AI","art","school","Images/AI Generated/AI - School/ai_school_art.jpg"
"23","AI","funnel cake","amusement park","Images/AI Generated/AI - Amusement Park/ai_amusementpark_funnelcake.jpeg"
"24","human","popsicle","picnic","Images/Human/Human - Picnic/human_picnic_popsicle_2016.jpeg"
"25","AI","waterslides","amusement park","Images/AI Generated/AI - Amusement Park/ai_amusementpark_waterslides.jpeg"
"26","AI","food spread","picnic","Images/AI Generated/AI - Picnic/ai_picnic_food.jpeg"
"27","human","ice cream cone","amusement park","Images/Human/Human - Amusement Park/human_amusementpark_icecreamcone_2017.jpeg"
"28","human","circus tent","amusement park","Images/Human/Human - Amusement Park/human_amusementpark_circustent_2014.jpeg"
"29","AI","bench","picnic","Images/AI Generated/AI - Picnic/ai_picnic_bench.jpeg"
"30","AI","ferris wheel","amusement park","Images/AI Generated/AI - Amusement Park/ai_amusementpark_ferriswheel.jpeg"
