source_key,item,story,stim
human,sunset,art,Images/Human/Human - Art/human_art_sunset.jpeg
AI,strawberries,art,Images/AI Generated/AI - Art/ai_art_strawberries.jpeg
AI,flowers 2,art,Images/AI Generated/AI - Art/ai_art_flowers2.jpeg
AI,trees,art,Images/AI Generated/AI - Art/ai_art_trees.jpeg
human,window,art,Images/Human/Human - Art/human_art_window.jpeg
human,cat2,art,Images/Human/Human - Art/human_art_cat2.jpeg
AI,green tree,art,Images/AI Generated/AI - Art/ai_art_greentree.jpeg
human,dog,art,Images/Human/Human - Art/human_art_dog.jpeg
human,tulip,art,Images/Human/Human - Art/human_tulip.jpeg
human,stars,art,Images/Human/Human - Art/human_art_stars.jpeg
