source_key,item,story,stim
AI,crayons,school,Images/AI Generated/AI - School/ai_school_crayons.jpg
human,salad,picnic,Images/Human/Human - Picnic/human_picnic_salad_2017.png
human,skewers,picnic,Images/Human/Human - Picnic/human_picnic_skewers_2015.png
human,fireworks,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_fireworks_2013.png
human,cafeteria,school,Images/Human/Human - School/human_school_cafeteria_2015.png
human,pinball machines,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_pinballmachines_2017.png
AI,lockers,school,Images/AI Generated/AI - School/ai_school_lockers.jpg
human,chalkboard,school,Images/Human/Human - School/human_school_chalkboard_2014.png
human,library,school,Images/Human/Human - School/human_school_library_2016.png
human,bus,school,Images/Human/Human - School/human_school_bus_2017.png
