source_key,item,story,stim
AI,clouds,art,Images/AI Generated/AI - Art/ai_art_clouds.jpeg
human,house,art,Images/Human/Human - Art/human_art_house.png
AI,rothko,art,Images/AI Generated/AI - Art/ai_art_rothko.jpeg
human,mountain,art,Images/Human/Human - Art/human_art_mountain.png
human,france,art,Images/Human/Human - Art/human_art_france.png
human,lighthouse,art,Images/Human/Human - Art/human_art_lighthouse.png
AI,boat,art,Images/AI Generated/AI - Art/ai_art_boat.jpeg
AI,peach,art,Images/AI Generated/AI - Art/ai_art_peach.jpeg
human,bird,art,Images/Human/Human - Art/human_art_bird.png
AI,chairs,art,Images/AI Generated/AI - Art/ai_art_chairs.jpeg
