source_key,item,story,stim
human,face,face,Images/Human/Human - Faces/2.R.EA.M.png
AI,face,face,Images/AI Generated/AI - Faces/2.S.EA.F.png
human,face,face,Images/Human/Human - Faces/4.R.W.M.png
human,face,face,Images/Human/Human - Faces/4.R.B.M.png
human,face,face,Images/Human/Human - Faces/3.R.B.M.png
AI,face,face,Images/AI Generated/AI - Faces/2.S.B.M.png
AI,face,face,Images/AI Generated/AI - Faces/1.S.SA.M.png
human,face,face,Images/Human/Human - Faces/3.R.W.M.png
AI,face,face,Images/AI Generated/AI - Faces/3.S.EA.M.png
human,face,face,Images/Human/Human - Faces/2.R.W.F.png
AI,face,face,Images/AI Generated/AI - Faces/4.S.B.F.png
