source_key,item,story,stim
AI,charcuterie,picnic,Images/AI Generated/AI - Picnic/ai_picnic_charcuterie.jpeg
AI,art,school,Images/AI Generated/AI - School/ai_school_art.jpg
AI,funnel cake,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_funnelcake.jpeg
human,popsicle,picnic,Images/Human/Human - Picnic/human_picnic_popsicle_2016.png
AI,waterslides,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_waterslides.jpeg
AI,food spread,picnic,Images/AI Generated/AI - Picnic/ai_picnic_food_spread.jpeg
human,ice cream cone,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_icecreamcone_2017.png
human,circus tent,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_circustent_2014.png
AI,bench,picnic,Images/AI Generated/AI - Picnic/ai_picnic_bench.jpeg
AI,ferris wheel,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_ferriswheel.jpeg
