"","source_key","item","story","stim"
"10","AI","onion","art","Images/AI Generated/AI - Art/ai_art_onion.jpeg"
"16","human","eggs","art","Images/Human/Human - Art/human_art_eggs.jpeg"
"6","human","vegetables","art","Images/Human/Human - Art/human_art_vegetables.jpeg"
"1","AI","port","art","Images/AI Generated/AI - Art/ai_art_port.jpeg"
"17","human","bees","art","Images/Human/Human - Art/human_art_bees.jpeg"
"20","AI","butterfly","art","Images/AI Generated/AI - Art/ai_art_butterfly.jpeg"
"2","AI","apple","art","Images/AI Generated/AI - Art/ai_art_apple.jpeg"
"4","AI","cat","art","Images/AI Generated/AI - Art/ai_art_cat.jpeg"
"14","AI","red sunset","art","Images/AI Generated/AI - Art/ai_art_redsun.jpeg"
"13","human","roses","art","Images/Human/Human - Art/human_art_roses.jpeg"
"7","human","sunset","art","Images/Human/Human - Art/human_art_sunset.jpeg"
"12","AI","strawberries","art","Images/AI Generated/AI - Art/ai_art_strawberries.jpeg"
"15","AI","flowers 2","art","Images/AI Generated/AI - Art/ai_art_flowers2.jpeg"
"8","AI","trees","art","Images/AI Generated/AI - Art/ai_art_trees.jpeg"
"5","human","window","art","Images/Human/Human - Art/human_art_window.jpeg"
"18","human","cat2","art","Images/Human/Human - Art/human_art_cat2.jpeg"
"11","AI","green tree","art","Images/AI Generated/AI - Art/ai_art_greentree.jpeg"
"19","human","dog","art","Images/Human/Human - Art/human_art_dog.jpeg"
"3","human","tulip","art","Images/Human/Human - Art/human_tulip.jpeg"
"9","human","stars","art","Images/Human/Human - Art/human_art_stars.jpeg"
